ParaControl_AMD64-1xN @ coert-ws:  ================================================================================================================================
                                   5777.00 ms |          |     SV-crop-all |                             Outside MCalcResultIdentification | 26.91 MB |   0.0000 MB
                                   5779.00 ms |          |     SV-crop-all |                                                    All meshes | 27.03 MB |   0.1229 MB
                                   5782.00 ms |          |     SV-crop-pip |                                                        mesh 0 | 27.06 MB |   0.0328 MB
                                   5782.00 ms |          |     SV-crop-pip |                               started cropping PIP for mesh 0 | 27.07 MB |   0.0082 MB
                                   5819.00 ms |          |     SV-crop-pip |                           successfully cropped PIP for mesh 0 | 27.37 MB |   0.2949 MB
                                   5820.00 ms |          |     SV-crop-pip |                              finished cropping PIP for mesh 0 | 27.37 MB |   0.0041 MB
                                   5820.00 ms |          |     SV-crop-pip |                                                        mesh 0 | 27.37 MB |   0.0000 MB
                                   5820.00 ms |          |     SV-crop-m2h |                                                        mesh 0 | 27.37 MB |   0.0041 MB
                                   5820.00 ms |          |     SV-crop-m2h |                                cropping M2H family for mesh 0 | 27.38 MB |   0.0082 MB
                                   5820.00 ms |          |     SV-crop-m2h |                        allocated M2H target family for mesh 0 | 27.38 MB |   0.0000 MB
                                   5901.00 ms |          |     SV-crop-m2h |                      accessed M2H reference family for mesh 0 | 39.02 MB |  11.6408 MB
                                   5902.00 ms |          |     SV-crop-m2h |   loaded existing parts of target family from disk for mesh 0 | 39.02 MB |   0.0000 MB
                                   5902.00 ms |          |     SV-crop-m2h |                       setting up merge translation for mesh 0 | 39.02 MB |   0.0000 MB
                                   5902.00 ms |          |     SV-crop-m2h |           building index containers for M2H family for mesh 0 | 39.02 MB |   0.0000 MB
                                   5902.00 ms |          |     SV-crop-m2h | successfully built index containers for M2H family for mesh 0 | 39.11 MB |   0.0860 MB
                                   5902.00 ms |          |     SV-crop-m2h |                           allocated target M2H m2h for mesh 0 | 39.11 MB |   0.0000 MB
                                   5905.00 ms |          |     SV-crop-m2h |                             cropped target M2H m2h for mesh 0 | 40.35 MB |   1.2452 MB
