Solver_HF_TD_AMD64 @ coert-ws:  ==============================================================================================================================
                                235.00 ms |          |     SV-crop-all |                    Outside MCalcResultIdentification (Solver) | 54.74 MB |  0.0000 MB
                                238.00 ms |          |     SV-crop-all |                                                    All meshes | 54.75 MB |  0.0082 MB
                                239.00 ms |          | SV-crop-classic |                                                        mesh 0 | 54.76 MB |  0.0041 MB
                                245.00 ms |          | SV-crop-classic |                 forced cropping of legacy matrices for mesh 0 | 55.31 MB |  0.5571 MB
                                272.00 ms |          | SV-crop-classic |                            build merge translation for mesh 0 | 55.48 MB |  0.1638 MB
                                272.00 ms |          | SV-crop-classic |                   accessed legacy reference matrix for mesh 0 | 55.48 MB |  0.0000 MB
                                272.00 ms |          | SV-crop-classic |                      cropping legacy matrix family for mesh 0 | 55.48 MB |  0.0082 MB
                                274.00 ms |          | SV-crop-classic |                         cropping legacy matrix Rho for mesh 0 | 57.20 MB |  1.7203 MB
                                280.00 ms |          | SV-crop-classic |                          cropped legacy matrix Rho for mesh 0 | 57.20 MB |  0.0000 MB
                                280.00 ms |          | SV-crop-classic |   calculated conspicuousness for legacy matrix Rho for mesh 0 | 57.20 MB |  0.0000 MB
                                280.00 ms |          | SV-crop-classic |                         cropping legacy matrix Rho for mesh 0 | 57.20 MB |  0.0000 MB
                                280.00 ms |          | SV-crop-classic |                         dropping legacy matrix Rho for mesh 0 | 57.20 MB |  0.0000 MB
                                280.00 ms |          | SV-crop-classic |                          dropped legacy matrix Rho for mesh 0 | 57.20 MB |  0.0000 MB
                                282.00 ms |          | SV-crop-classic |                          cropping legacy matrix ds for mesh 0 | 58.53 MB |  1.3230 MB
                                287.00 ms |          | SV-crop-classic |                           cropped legacy matrix ds for mesh 0 | 58.53 MB |  0.0041 MB
                                287.00 ms |          | SV-crop-classic |    calculated conspicuousness for legacy matrix ds for mesh 0 | 58.53 MB |  0.0000 MB
                                287.00 ms |          | SV-crop-classic |                          cropping legacy matrix ds for mesh 0 | 58.53 MB |  0.0000 MB
                                287.00 ms |          | SV-crop-classic |                          dropping legacy matrix ds for mesh 0 | 58.53 MB |  0.0000 MB
                                288.00 ms |          | SV-crop-classic |                           dropped legacy matrix ds for mesh 0 | 58.53 MB |  0.0000 MB
                                289.00 ms |          | SV-crop-classic |                          cropping legacy matrix dA for mesh 0 | 59.82 MB |  1.2861 MB
                                297.00 ms |          | SV-crop-classic |                           cropped legacy matrix dA for mesh 0 | 59.82 MB |  0.0000 MB
                                297.00 ms |          | SV-crop-classic |    calculated conspicuousness for legacy matrix dA for mesh 0 | 59.82 MB |  0.0000 MB
                                297.00 ms |          | SV-crop-classic |                          cropping legacy matrix dA for mesh 0 | 59.82 MB |  0.0000 MB
                                297.00 ms |          | SV-crop-classic |                          dropping legacy matrix dA for mesh 0 | 59.82 MB |  0.0000 MB
                                298.00 ms |          | SV-crop-classic |                           dropped legacy matrix dA for mesh 0 | 59.82 MB |  0.0000 MB
                                300.00 ms |          | SV-crop-classic |                         cropping legacy matrix dsd for mesh 0 | 61.10 MB |  1.2861 MB
                                305.00 ms |          | SV-crop-classic |                          cropped legacy matrix dsd for mesh 0 | 61.10 MB |  0.0000 MB
                                305.00 ms |          | SV-crop-classic |   calculated conspicuousness for legacy matrix dsd for mesh 0 | 61.10 MB |  0.0000 MB
                                305.00 ms |          | SV-crop-classic |                         cropping legacy matrix dsd for mesh 0 | 61.10 MB |  0.0000 MB
                                305.00 ms |          | SV-crop-classic |                         dropping legacy matrix dsd for mesh 0 | 61.10 MB |  0.0000 MB
                                306.00 ms |          | SV-crop-classic |                          dropped legacy matrix dsd for mesh 0 | 61.10 MB |  0.0000 MB
                                307.00 ms |          | SV-crop-classic |                         cropping legacy matrix dad for mesh 0 | 62.39 MB |  1.2861 MB
                                313.00 ms |          | SV-crop-classic |                          cropped legacy matrix dad for mesh 0 | 62.39 MB |  0.0000 MB
