"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","BLPN","DIGIKEY","PKG","SCLC","SERIES","LCSC"
"C1","1","100μ","","","","","399-A750BK107M1AAAE024-ND","Radial","","A750","C1020041"
"C2,C58,C59,C60","4","220μ","","","","","399-6123-ND","Radial","","ESY","C5113406"
"C3,C4,C5,C8,C11,C12,C13,C18,C20,C22,C24,C28,C29,C32,C34,C37,C39,C43,C44,C45,C49,C50,C51,C52,C53,C54,C55,C56,C57","29","100n","","","","","490-3285-1-ND","0603","","GRM","C77058"
"C6","1","1000μ","","","","","B41866D6108M000","Radial","","B41866","C1650604"
"C7","1","10μ","","","","","490-12456-1-ND","1206","","GRT","C417124"
"C9","1","47μ","","","","","399-ESY476M050AE3AA-ND","Radial","","ESY","C1019527"
"C10","1","33n","","","","","399-C0603C333K5RACTUCT-ND","0603","","SMD Comm X7R","C2169037"
"C14,C15,C16,C17,C19,C21,C30,C31,C36,C38","10","10μ","","","","","490-3886-1-ND","0805","","GRM","C77075"
"C23,C25,C33,C35","4","10n","","","","","490-GRM188R72A103KA01JCT-ND","0603","","GRM","C2187930"
"C26","1","220μ","","","","","P124158CT-ND","SMD","","OS-CON, SVPK","C542293"
"C27","1","22μ","","","","","","1206","","GRM","C91604"
"C40,C41,C42","3","2μ2","","","","","490-6418-1-ND","0603","","GRM","C2167658"
"C46,C47,C48","3","22n","","","","","490-3284-1-ND","0603","","GRM","C426087"
"D1,D4","2","SS34","","","","","SS34FSCT-ND","DO-214AB, SMC","","","C154551"
"D2","1","28V","","","","","SMBJ28A-FDICT-ND","DO-214AA","","SMBJ","C91924"
"D3","1","12V","","","","","BZT52C12S-FDICT-ND","SOD-323","","","C124208"
"DC1","1","24V/6.5A","","","Excluded from board","","1866-3321-ND","","","LRS-150 (150W)","C95193"
"F1","1","7A","","","","","","","","NANO 451",""
"FB1","1","50Ω@100Mhz","","","","","490-13269-1-ND","1206","","BLM31","C710524"
"FB2,FB3,FB4,FB5","4","60Ω at 100MHz","","","","","445-MPZ1608S600ATDH5CT-ND","0603","","MPZ","C307775"
"FID1,FID2,FID3","3","Fiducial","","Excluded from BOM","","","","","","",""
